title,price,land,building,bed,bath,floor,certificate,location
Rumah 200 Jutaan Murah Minimalis di Gaten Jetis Siap Bangun,250000222,60,36,2,1,1,SHM - Sertifikat Hak Milik,"Jetis, Bantul Kab., Yogyakarta D.I."
"Rumah 2 Lantai Dalam Cluster Di Klidon Sukoharjo, Dekat Kampus UII",1150000003,121,100,3,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
"Rumah dijual dekat polsek bantul 580 juta siap huni di deresan, bantul",580000010,121,63,2,1,1,SHM - Sertifikat Hak Milik,"Bantul, Bantul Kab., Yogyakarta D.I."
Murah ! Rumah Baru dalam Perum di jl.imogiri dekat UAD Giwangan Jogja,776000000,88,76,3,2,2,SHM - Sertifikat Hak Milik,"Banguntapan, Bantul Kab., Yogyakarta D.I."
Rumah murah akses papasan dekat RS UII Pandak.1483,295000000,96,45,2,1,1,SHM - Sertifikat Hak Milik,"Pandak, Bantul Kab., Yogyakarta D.I."
Rumah Dekat Jl Imogiri Timur di Jetis Bantul Kota Akses Jalan Aspal,385000009,102,61,3,2,1,SHM - Sertifikat Hak Milik,"Jetis, Bantul Kab., Yogyakarta D.I."
"Siap Bangun Hunian Mewah Elit dgn Private Pool, Developer Patrajasa",4791440000,198,180,3,3,2,HGB - Hak Guna Bangun,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Rumah pese. Bangun 5 unit sisa 4 unit di ngemplak jangkang sleman,375000000,64,36,2,1,1,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I."
Kode : RSH 3240 #Rumah dan Warung Makan Strategis Siap Huni di Bangunt,1800000000,291,50,3,2,1,SHM - Sertifikat Hak Milik,"Banguntapan, Bantul Kab., Yogyakarta D.I."
Hunian Baru Banguntapan Tamanan Dekat JL Imogiri Timur UAD Giwangan,325000000,61,36,2,1,1,SHM - Sertifikat Hak Milik,"Banguntapan, Bantul Kab., Yogyakarta D.I."
Kost dijual Jogja di Jakal 5 menit ke Kampus UII Jalan Kaliurang KM 13,1900000000,150,120,10,10,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
"Asri Sejuk Dekat Sungai, Daaru Tirta Hutama, Bebas Desain Fasad",328650000,79,38,2,1,1,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I."
Griya Nyaman Perum JL Turi Dkt JL Magelang Pandowoharjo Pangukan,675000000,120,58,2,1,1,SHM - Sertifikat Hak Milik,"Turi, Sleman Kab., Yogyakarta D.I."
Rumah Perum 3KT 2KM Sleman Margoluwih Seyegan Dekat TGP Godean Jogja,325000000,83,50,3,2,2,SHM - Sertifikat Hak Milik,"Godean, Sleman Kab., Yogyakarta D.I."
"NEGO Sampai Deal, Bisa Custom Layout Rumah, Tipe 36, Maguwoharjo",458000000,64,36,2,1,1,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I."
Kode RSH 305 # Rumah Murah Bagus di Baturetno Banguntapan Bantul Yogya,350000000,56,38,2,1,1,SHM - Sertifikat Hak Milik,"Banguntapan, Bantul Kab., Yogyakarta D.I."
Rumah Kodya Dekat Kampus UST Taman Siswa,1450000000,72,130,3,2,3,SHM - Sertifikat Hak Milik,"Umbulharjo, Yogyakarta Kota, Yogyakarta D.I."
Rumah 2 lantai Fully Furnish di Karangmojo Purwomartani Kalasan Sleman,1300000000,136,95,3,2,2,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I."
Rumah 2 lantai Fully Furnish di Karangmojo Purwomartani Kalasan Sleman,1300000000,145,200,4,4,2,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I."
Rumah Siap Huni Hanya 5 Menit Ke UII Kaliurang!!,830000099,138,75,3,2,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Rumah Full furnish Siap Huni Dekat RS Nur Hidayah,870000221,177,85,3,3,1,SHM - Sertifikat Hak Milik,"Jetis, Bantul Kab., Yogyakarta D.I."
Dijual Rumah  Lokasi Utara Jogjabay Waterpark Maguwoharjo  Yogyaka,3400000000,327,327,5,4,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Rumah 2 lantai Laguna Spring jl wonosari banguntapan Bantul Yogyakarta,2500000000,128,115,3,2,2,HGB - Hak Guna Bangun,"Banguntapan, Bantul Kab., Yogyakarta D.I."
Rumah Mewah Include Private Pool Di Lokasi Premium Jogja Jakal Km 9,2299000000,203,150,4,3,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
RUMAH 2 LANTAI BARU MODERN FULL FURNISH DI PURWOMARTANI SLEMAN YOGYA,1100000000,116,177,3,2,2,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I."
Rumah Murah dan Luas di Jalan Kaliurang Km 13 Dekat Kampus UII,570000000,135,52,2,1,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Dijual Rumah 3 Kamar tanah luas dekat Kampus UMY,495000000,102,45,2,1,1,SHM - Sertifikat Hak Milik,"Gamping, Sleman Kab., Yogyakarta D.I."
Rumah Dalam Ringroad Dekat Kampus UPY,550000000,92,45,2,1,1,SHM - Sertifikat Hak Milik,"Gamping, Sleman Kab., Yogyakarta D.I."
Rumah Hook Lingkungan Perumahan dekat Jalan Lempongsari,1400000000,118,120,3,2,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Dijual Rumah Halaman Luas Full Furnished Dengan Kolam Renang Pribadi,3000000000,765,765,5,3,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Dijual Rumah Mewah Baru Siap Huni Dalam Perumahan Di Jl Palagan,1700000000,144,125,4,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Launching!! Selatan Perum Pertamina Perumahan Konsep Modern Purwo,873000990,118,70,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Dijual rumah minimalis siap huni di daerah gamping ringroad barat,800000000,141,55,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Murah! Perumahan Modern Konsep Eropa Dekat Kids Fun,650009900,209,100,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
"Tanah Sleman Murah, Sertipikat SHM, Dekat UII",450000000,107,45,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
"Kost Jogja 2 lantai, 11 Kamar. Pogung Baru. dekat ke kampus UGM. SHM",3950000000,333,200,5,3,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
900jt-an Dapat Rumah 2 Lantai Mewah Sebelah Barat Jalan Magelang,975000008,115,100,4,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
"Rumah Mewah Baru di Jalan kaliurang Km 8,5 Akses Jalan Besar",2700000000,252,200,5,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Dekat Jombor Di Mlati Seyegan Murah 600 Jutaan Dekat Pemda,675000000,90,60,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Minimalis Full Furnished dlm Perumahan Jongke Security 24 Jam,1400000000,132,90,3,3,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
"Berkah Ramadhan,Segera Dapatkan Rumah Hanya 500jt-an di Tridadi Sleman",520000005,87,36,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Perumahan Baru Griya Sentosa Utara Jombor,1800000000,137,155,5,4,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
"Akses Mobil Masuk, Hunian Area Pundong I, Dekat Jl. Kebon Agung",440000000,87,36,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Murah siap huni di Maguwoharjo Depok sleman,695000000,100,65,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Mewah Hook Perum Elite Nandan Griya Idaman Dekat Al Azhar &amp; UGM,3750000000,235,269,5,4,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Baru Belakang Gor Pangukan Siap Bangun,585000000,133,50,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
"Rumah view persawahan ,jln kabupaten trihanggo gamping sleman",1300000000,178,100,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Mewah Perumahan Bale Mulia Dengan Kolam Renang Pribadi,10000000000,527,399,5,4,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah mewah di Bale Mulia residence Mlati Sleman Yogyakarta,4600000000,252,253,5,4,1,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
"Dijual Rumah di Jombor Mlati Sleman, Barat Monjali dekat YIS",1600000000,292,320,7,5,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Baru Murah di Tlogoadi dekat RSA UGM UTY Jombor,495000000,90,45,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah mewah di bale mulia dkt ugm uty rs sarjito jcm sch tvri unisa(rb,4400000000,293,323,4,3,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Dijual Mewah Hook 2 Muka Bale Mulia Residence Perumahan Elite,5300000000,252,260,5,4,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah mewah di bale mulia dkt ugm uty rs sarjito jcm sch tvri unisa(rb,4400000000,322,297,5,4,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Dijual Bale Mulia Residence Perumahan Mewah Lingkungan Elite,4200000000,313,260,5,5,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
RUMAH DI JALAN MAGELANG MLATI SLEMAN DEKAT TERMINAL JOMBOR DAN JCM,1000000000,114,180,5,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Mewah Dan Kost 15 Kamar Jalan Utama Pogung Jl. Kaliurang Km. 4,4499000000,220,225,8,9,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Harga Dibawah Pasaran di Bale Mulia Barat Terminal Jombor Jogja,1650000000,164,110,3,1,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah 2 lantai dekat kota yogya,474999999,135,55,3,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
RUMAH MURAH CLUSTER STRATEGIS DI JL JONGKE MLATI MAGELANG SLEMAN YOGYA,950000000,140,90,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
RUMAH MURAH STRATEGIS DEKAT PEMDA DAN JL MAGELANG KM 13 SLEMAN YOGYA,335000000,120,80,2,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
