title,price,types,land,building,bed,bath,floor,certificate,location,secondary_location,url
"PERUMAHAN JONGKE SENDANGADI BARAT HYATT DEKAT UGM, TUGU, JOMBOR",1799900000,Rumah,389,200,4,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Jl.Palagan Km.7,5 Dekat Perum Paradise&amp;Pondok Permai Palagan,Hotel Hyatt (Syahmad - 081904045055  Ig:  @propertymart_jogja)",https://www.olx.co.id/item/lt389lb200-jlpalagan-km75-selatan-paradise-dekat-hyattmonjaliugm-iid-842426362
"PERUM MEWAH TAMAN PALAGAN ASRI DEKAT HYATT, UGM , TUGU, MALIOBORO",2000000000,Rumah,144,138,3,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jl.Kebonagung Sendangadi Mlati Sleman (Telpon/WA: 0819-0404-5055  Instagram: @propertymart_jogja) SyHAkmi,https://www.olx.co.id/item/furnish-perum-mewah-sendangadi-dekat-rsaugm-bale-mulia-ugm-tugu-iid-859882563
Dijual rmh 2 lantai baru luas murah,1550000000,Rumah,232,232,6,4,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Perumahan Jongke Asri,https://www.olx.co.id/item/burumah-dijual-murah-iid-867154641
Jual rumah 2lantai dekat perum merapi view,1200000000,Rumah,158,100,3,3,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Jakal KM-9,5",https://www.olx.co.id/item/rumah-nyaman-depan-merapi-view-iid-867153029
Rumah Baru siap huni dlm Cluster dijln Godean km 10,525003500,Rumah,117,70,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jln godean km 10 utara pasar godean,https://www.olx.co.id/item/rumah-baru-minimalis-dijln-godean-km-10-utara-pasar-godean-iid-867151375
Rumah Dijual Minimalis Modern Full Furnished Dalam Perumahan,2100000000,Rumah,126,330,6,3,3,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Jl.Purbaya Gg. sadewa NO 17,RT.002/RW.009(mina Ledhok)Warak Kidul Sumberadi, Mlati, kab.sleman, D.I. Yogyakarta",https://www.olx.co.id/item/rumah-mewah-modern-minimalis-full-furnished-iid-867147442
Rumah Mewah 2 Lantai di dekat Hotel Sheraton Mewah dan Elit,2200000000,Rumah,126,330,6,3,3,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Jl.Purbaya Gg. sadewa NO 17,RT.002/RW.009(mina Ledhok)Warak Kidul Sumberadi, Mlati, kab.sleman, D.I. Yogyakarta",https://www.olx.co.id/item/rumah-mewah-modern-minimalis-iid-867146960
Rumah Mewah Full Furnished Dalam Perum paradise area Mlati Sleman,3699000000,Rumah,215,132,5,4,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jl palagan Mlati sleman yogyakarta,https://www.olx.co.id/item/jual-rumah-di-perumahan-paradise-iid-867146947
RUMAH MEWAH JOGLO ETNIK MODERN STRTAEGIS DI KAWASAN JLN PALAGAN,874999997,Rumah,90,36,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Kawasan Jln Palagan,https://www.olx.co.id/item/rumah-murah-joglo-etnik-jawa-modern-strategis-di-jogja-iid-867146216
Rumah baru utara Jogja bay maguwoharjo,650000000,Rumah,115,88,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Dkt ke jogja bay maguwoharjo,https://www.olx.co.id/item/rumah-baru-minimalis-siap-huni-di-dkt-jogja-bay-maguwoharjo-iid-867141046
