title,price,land,building,bed,bath,floor,certificate,location,landprice,loc,point,lat,lon,regency
Rumah Siap Huni Di Kasihan Bantul Dekat Wisata Gerabah Kasongan,440000008,100,45,2,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",4400000,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
Rumah Baru Siap Huni Tamantirto Kasihan Dkt Bangunjiwo JL Bibis Gatak,585000000,101,61,3,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",5792079,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
HUNIAN MURAH DP RINGAN DEKAT KAMPUS UMY,300789678,74,36,2,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",4064725,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
Rumah Siap Huni Di Sewon Bantul Dekat Wisata Manding Dan Gabusan,415000008,80,45,2,1,1,SHM - Sertifikat Hak Milik,"Sewon, Bantul Kab., Yogyakarta D.I.",5187500,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.835594499999999, 110.3656196, 0.0)",-7.835594499999999,110.3656196,Sleman Regency
hanya 300jtan bisa miliki rumah dekat SMA N 2 Klaten ?,340004900,107,36,2,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",3177615,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
Jual rumah sederhana layak huni tidak jauh dari kampus isi,249000000,89,50,2,1,1,SHM - Sertifikat Hak Milik,"Sewon, Bantul Kab., Yogyakarta D.I.",2797752,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.835594499999999, 110.3656196, 0.0)",-7.835594499999999,110.3656196,Sleman Regency
Rumah sederhana dalam ringroad dekat UPY sonosewu nitiprayan UMY,300000000,84,36,1,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",3571428,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
"Rumah dijual, menawan, 2 lantai, siap huni,",1500000000,150,130,3,3,2,SHM - Sertifikat Hak Milik,"Sewon, Bantul Kab., Yogyakarta D.I.",10000000,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.835594499999999, 110.3656196, 0.0)",-7.835594499999999,110.3656196,Sleman Regency
RUMAH PALING MURAH 8 MENIT KE RINGROAD JOGJA,394850000,96,40,2,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",4113020,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
Kode : RSH 3059 #Rumah Cantik Minimalis Siap Huni di Sewon Bantul,450000000,139,45,2,1,1,SHM - Sertifikat Hak Milik,"Sewon, Bantul Kab., Yogyakarta D.I.",3237410,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.835594499999999, 110.3656196, 0.0)",-7.835594499999999,110.3656196,Sleman Regency
